benchmark, o0-none, o0-lfence
spectre-pht.c-victim_function_v1.smt2, \redcross, \ns
spectre-pht.c-victim_function_v2.smt2, \redcross, \ns
spectre-pht.c-victim_function_v3.smt2, \redcross, \ns
spectre-pht.c-victim_function_v4.smt2, \redcross, \ns
spectre-pht.c-victim_function_v5.smt2, \redcross, \ns
spectre-pht.c-victim_function_v6.smt2, \redcross, \ns
spectre-pht.c-victim_function_v7.smt2, \redcross, \ns
spectre-pht.c-victim_function_v8.smt2, \gtick, \ns
spectre-pht.c-victim_function_v9.smt2, \redcross, \ns
spectre-pht.c-victim_function_v10.smt2, \redcross, \ns
spectre-pht.c-victim_function_v11.smt2, \redcross, \ns
spectre-pht.c-victim_function_v12.smt2, \redcross, \ns
spectre-pht.c-victim_function_v13.smt2, \redcross, \ns
spectre-pht.c-victim_function_v14.smt2, \redcross, \ns
spectre-pht.c-victim_function_v15.smt2, \redcross, \ns
